,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags
81,1415410,Farm Manager 2021: Prologue,Cleversan Games,"PlayWay S.A., Sim Farm S.A.",,710,211,0,"200,000 .. 500,000",66,0,96,0,0,0,0,5,"English, Polish, French, Italian, German, Spanish - Spain, Simplified Chinese, Japanese, Korean, Portuguese - Portugal, Russian","Indie, Simulation, Strategy","{'Strategy': 87, 'Simulation': 79, 'Building': 57, 'Farming Sim': 54, 'Casual': 51, 'Management': 43, 'City Builder': 42, 'Realistic': 36, 'Agriculture': 34, 'Economy': 32, 'Singleplayer': 28, 'Family Friendly': 24, 'Free to Play': 24, 'Modern': 23, 'Indie': 23, 'Relaxing': 21, 'Multiplayer': 20, 'Resource Management': 20, 'Inventory Management': 19}"
82,591370,Production Line : Car factory simulation,Positech Games,Positech Games,,2605,523,0,"200,000 .. 500,000",198,0,235,0,2499,2499,0,30,"English, German, Spanish - Spain, French, Italian, Portuguese - Portugal, Czech, Dutch, Polish","Indie, Simulation, Strategy","{'Management': 219, 'Simulation': 183, 'Strategy': 158, 'Economy': 152, 'Building': 147, 'Automation': 141, 'Sandbox': 138, 'Resource Management': 138, 'Indie': 134, '2D': 132, 'Base-Building': 127, 'Singleplayer': 121, 'Isometric': 116, 'Realistic': 111, 'Replay Value': 104, 'Family Friendly': 94, 'City Builder': 88, 'Education': 86, 'Moddable': 76, '2.5D': 75}"
83,272270,Torment: Tides of Numenera,inXile Entertainment,inXile Entertainment,,2790,1203,0,"200,000 .. 500,000",481,0,271,0,3499,3499,0,20,"English, French, German, Spanish - Spain, Polish, Russian","Adventure, Indie, RPG, Strategy","{'RPG': 209, 'Story Rich': 109, 'Isometric': 108, 'Adventure': 93, 'CRPG': 80, 'Indie': 77, 'Singleplayer': 72, 'Choices Matter': 68, 'Turn-Based Combat': 61, 'Strategy': 56, 'Atmospheric': 50, 'Sci-fi': 42, 'Fantasy': 40, 'Turn-Based': 39, 'Kickstarter': 38, 'Party-Based RPG': 29, 'Dark Fantasy': 23, 'Great Soundtrack': 12, 'Female Protagonist': 12, 'Turn-Based Tactics': 10}"
84,222160,"Hamlet or the Last Game without MMORPG Features, Shaders and Product Placement",Denis Galanin (mif2000),Denis Galanin (mif2000),,318,182,0,"200,000 .. 500,000",296,0,293,0,499,499,0,0,"English, German, French, Italian, Korean, Spanish - Spain, Russian, Japanese, Portuguese - Portugal, Polish, Hungarian, Turkish","Adventure, Indie","{'Adventure': 160, 'Indie': 56, 'Point & Click': 34, 'Short': 23, 'Comedy': 18, 'Puzzle': 16, 'Funny': 14, 'Parody ': 12, 'Space': 11, 'MMORPG': 10, '2D': 6, 'Singleplayer': 5, 'Escape Room': 5}"
85,1912900,Maximum Velocity,Unight LLC,Unight LLC,,3,1,0,"200,000 .. 500,000",0,0,0,0,1999,1999,0,0,English,"Massively Multiplayer, Racing, Early Access","{'Racing': 117, 'Driving': 98, 'Multiplayer': 95, 'MMORPG': 90, 'Massively Multiplayer': 86, 'PvE': 81, '3D': 79, 'First-Person': 76, 'Action-Adventure': 72, 'Open World': 60, 'Third Person': 55, 'PvP': 48, 'Character Customization': 27, 'Singleplayer': 25, 'Early Access': 21}"
86,57640,Broken Sword: Director's Cut,Revolution Software Ltd,Revolution Software Ltd,,2128,162,0,"200,000 .. 500,000",215,0,216,0,599,599,0,53,"English, French, German, Spanish - Spain, Italian",Adventure,"{'Adventure': 202, 'Point & Click': 181, 'Puzzle': 139, 'Story Rich': 137, '2D': 133, ""1990's"": 123, 'Remake': 120, 'Retro': 115, 'Singleplayer': 112, 'Mystery': 110, 'Hidden Object': 108, 'Comedy': 105, 'Third Person': 103, 'Hand-drawn': 101, 'Atmospheric': 99, 'Funny': 98, 'Old School': 93, 'Detective': 87, 'Casual': 85, 'Cartoon': 82}"
87,70110,Hacker Evolution: Untold,exosyphen studios,exosyphen studios,,234,158,0,"200,000 .. 500,000",194,0,224,0,99,99,0,0,English,"Indie, Simulation","{'Simulation': 45, 'Indie': 30, 'Hacking': 23, 'Singleplayer': 9}"
88,238750,Might & Magic X - Legacy,Ubisoft,Ubisoft,,1990,1035,0,"200,000 .. 500,000",830,0,1091,0,749,2999,75,59,"English, German, French, Italian, Spanish - Spain, Russian, Polish, Hungarian, Czech, Portuguese - Brazil, Romanian, Japanese, Simplified Chinese, Korean",RPG,"{'RPG': 368, 'Turn-Based': 242, 'Fantasy': 134, 'Old School': 100, 'Singleplayer': 92, 'Dungeon Crawler': 90, 'CRPG': 63, 'First-Person': 50, 'Grid-Based Movement': 49, 'Classic': 40, 'Open World': 38, 'Adventure': 36, 'Tactical': 30, 'Retro': 25, 'Party-Based RPG': 22, 'Difficult': 21, 'Magic': 17, 'Turn-Based Combat': 14, 'Exploration': 10, ""1990's"": 5}"
89,529240,"Creature Clicker - Capture, Train, Ascend!",ColloseusX,Phat Phrog Studios,,183,199,0,"200,000 .. 500,000",218,0,219,0,199,199,0,4,English,"Action, Casual, Indie, Early Access","{'Casual': 64, 'Action': 61, 'Indie': 60, 'Early Access': 42, 'Clicker': 27, 'Creature Collector': 6}"
90,2212330,Your Only Move Is HUSTLE,Ivy Sly,Ivy Sly,,4453,183,0,"200,000 .. 500,000",362,368,339,365,499,499,0,1474,English,"Action, Indie, Simulation, Strategy","{'2D Fighter': 246, 'Turn-Based Strategy': 219, 'Action': 214, 'Strategy': 201, 'Spectacle fighter': 193, 'Turn-Based Tactics': 180, 'Sandbox': 178, 'Simulation': 174, '2D': 173, 'Side Scroller': 161, 'Pixel Graphics': 154, 'Anime': 142, 'Solitaire': 138, 'Cartoon': 136, 'Cinematic': 133, 'Cartoony': 133, 'Colorful': 119, 'Hand-drawn': 114, 'Cute': 112, 'Minimalist': 105}"
